Document_group	Document_name	N_coded_segments	N_memos	Author	Country	Sex	Marital_status	Employment_status	Employment_status_of_partner	Highest_obtained_diploma	N_children_in_household	How_many_children_.in_.family_you_grew_up	Who_of_your_parents_paid_job	Temporal_dimension	Sq1_Change	Sq2_Satisfaction	Sq3_Personal.control	Sq4_Strereotypes	Sq5_Outcome	Sq6_FairvsUnfair	Sq7_Gender	Key_actors_in_the_story	Age	text
AT_quotes	AT_Q_F_35_PRO	13	0	Barbara Helfferich	1	2	2	1	3	7	0	2	1	2000	4	1	2	5	3	2	5	partner,employer,colleagues,works council	35	"*| 1 | \""I managed to ask President Obama at a Nato press conference; I had that advantage of having this special status as a young correspondent in a top position; but that was in B*| *| But when the issue was to return to Austria, to the company..  I wanted, of course, to be recognized for what I had achieved.  I wanted a leading position in the company and keep my excellent salary of course.  I specifically applied for one of the top positions, with all the energy I could muster, and then I noticed how suddenly there was resistance rising.  My colleagues between the ages of 50 and 60 called me and told me how arrogant it was of me, that I should apply  for jobs instead of having children; they told me that I overrated myself, completely, that I was just 34.  They felt they had to tell me that they found it cheeky of me*| *| It went so far that even the editor-in-chief needed to put me down.   I was supposed to do a ”live” segment on Nato and Hillary Clinton. But at the last minute I was not allowed to do it with the argument that my face gave the impression of incompetence.  So I took the next available plane to Austria and said to my editor-in-chief to please read my cv*| *| .. and all of sudden, these people started reading my CV and were quite impressed.\"" |"
AT_quotes	AT_Q_M_47_SOC	11	0	Barbara Helfferich	1	1	3	1	8	7	2	1	3	2000	3	1	2	4	2	2	5	partner,peers,state,lawyer	47	*| 1 | (R):“..In Austria, fathers do have visiting rights, but don’t have the right that their children live with them. And if one brings this up, most of the time, people will not listen. Society just does not want to know about it*| *| ” |*| 3 | (R): Yes, yes, I went to a lawyer and asked him what my chances were because a German had gone to the European Human Rights Court in order to get custody of his child.  All the German courts had refused to do so, so he went to Strasbourg and Strasbourg ruled in his favor.  I would assume that this would lead to a gradual adaptation of the German jurisprudence and also in Austria.  But these are lengthy processes.  In any case, my lawyer told me that I would not stand a chance at the moment. |*| 5 | (R): Yes, he said that it depended mainly on the prevailing case law.  He said that there are the law and the prevailing case law. I am not a lawyer, but he explained that the prevailing case law is sometimes as important as the law if not more important.  That means if judges interpret the law that father have lesser rights, then it will be so.  We are of course talking about custody.  How much can father actually intervene in choosing the school? Custody is not so much about who has the children for how long.  In the German speaking countries, equality is not very well established. |*| 7 | (R): I cannot really take important decisions regarding the children. |
AT_quotes	AT_Q_M_21_EDU	5	0	Barbara Helfferich	1	1	6	5	8	5	0	1	2	1990	5	4	6	1	6	6	3	mother,grandmother,schools,church	21	*| 1 | I don’t really know where I learned that.  I think school has something to do with it.  In school we undertook many projects, which had something to do with it. .  There was this day, they called it ‘girls’ day’ or ‘daughters’ day’, yes, and I think it was called ‘daughters’ day’.  On that day, the female students did not have to come to school, but had to accompany their mothers or fathers to work and spend the day there in order to observe the work.  That was something that did not exist for the boys.   But then our school also introduced ‘boys’ day’, which happened once a year.  Then they had the idea when we were in the upper school, though I only participated twice, to hold a man’s day and the girls had to stay in school*| *| while the teacher who wanted to deal with us showed us the typical things such as preparing pancakes and so on.  There were several situations like that where I had the feeling that the school proactively tried to encourage that men rethink their traditional roles.  I found that fascinating and was open to it and also see to it that it continues to be part of my life.  |
AT_quotes	AT_Q_F_47_CFR	23	0	Barbara Helfferich	1	2	2	1	1	6	1	3	3	1970	4	3	4	5	5	3	5	mother,friends,peers,media	47	*| 1 | (R):“The first phase that I can remember, already as a child.. I was 11 or 12 years old.   I was talking with my mother about what I would like to do or to become.  I had many different ideas, e.g. veterinary medicine. But my mother asked me why I would chose such complicated studies followed by such a hard job in the field.  She said that one should not imagine to just treating guinea pigs, but there will be cows and horses and such. And she added that it would be really much more sensible to become primary school teacher.  You work four hours per day and the rest you can spend at home.  You have time and if you have family, it is the perfect profession for you.  I did not quite know what to say to that because what I heard did not suit me at all.  Cause I had always been a wild child who played with the boys.  To imagine to address a group of children as their primary school teacher was an absurd thought; far from any imagined reality.  And that was the first time that I was really astonished because my mother knew me, knew who I was; knew my character and my abilities.  I was astonished that she would propose such a job to me, which really did not match my abilities.  I realized then that as a woman we tend to assume the responsibilities for the family.  We organize it so that it can function.  And then it makes sense the way one chooses ones job.  It all fits.” |*| 3 | (R): Yes.  That was the way she argued*| *| . |*| 5 | (R): I thought about it.  But it felt so uncomfortable that I came to the conclusion: No, I do not want to become a primary teacher for sure. Even if later on, moving into that direction so that I could have said that I am a good teacher.  No, there was no way I was going to become a teacher because I was so hurt by that suggestion which was so unlike me.  Moreover, to have to think about – at the age of 12 – which job I will have and about a family, which at that point I did not want.  Those were terrifying thoughts for me: to have a child at the age of 18 who I have to consider in my decisions.   And so I excluded all that and did not justify it in the family and did not have a child until late, because I did not want to subsume everything in my life, all that what I wanted to do, to having a child. |*| 7 | (R):  My mother*| *|  well..it was clear.. She is a family person and calls herself an earth mother. She had me when she was 18 and there was no question about it.  She was a housewife and only circumstances forced her to pursue a profession. |*| 9 | (R): She accepted it in the end.  She knew me quite well and interestingly enough. She always supported my independence.  It didn’t fit. And when I told her that I was going to study law, she considered it a perfect option and recognized that family was not my first priority.” |
AT_quotes	AT_Q_F_47_PRO1	10	0	Barbara Helfferich	1	2	2	1	1	6	1	3	3	1980	5	2	1	5	4	3	5	mother,employer,friends,peers,school	47	*| 1 |*| *| Yes,this story is relatively short and also concerns my work..The director general did not want that the new CEO was going to hire me.  He had some reservations and did show them to me openly.   In the beginning I was asked to significantly enlarge the network of traders and with it the profit.  On one occasion we talked about this network and I used this figure of speech, which is very typically Austrian – we Austrian do not speak as precisely as the Germans do – and so I said: i thought you meant such and such.  And then he replied: Miss B.,  don’t think, nothing will come of it.“  I was completely flabbergasted; I couldn’t deal with this kind of situation.  And when I thought about it why it affected me so much.. first of all, using the word*| *| Miss’, that is such a put down, and then saying*| *| don’t think, nothing will come of it.’  That is something typical for a man to say that women cannot think logically, if if women try, the result will be unintelligble or worth nothing.  I found this situation difficult.  I didn’t know anything, I didn’t reply anything and was completely bushed.  But as is my custom, I talked to many people about it, so that if there were a next time – which never happened again – I would be prepared.  I considered it extremely sexist – the patriarch who speaks to his peons.  Sexist also because he used this word*| *| miss“, which he would never do with a man, well, there is no such belittling word for a man.  I considered that as an extreme verbal attack.  That’s why I remember it so well..“ |
AT_quotes	AT_Q_M_21_CFR	11	0	Barbara Helfferich	1	1	6	5	8	5	0	1	2	1990	5	4	6	1	6	6	3	mother,grandmother,schools,church	21	*| 2 | “What I really do not like is that only the woman takes parental leave, ‘cause man have also the right to take parental leave, but they simply don’t claim that right very often, because they earn more and somehow, money is needed.  I am of the opinion that when there is a newborn child, that the mother must stay at home, because the chiild must build a relationship with the mother and needs the mother’s milk.  I just find it more intelligent that way for the first year that the mother stays home.  But that should not mean that the woman must stay at home.  That I really oppose because I do not want to have a housewife at home; that’s awful.  I had this girl friend once who always waited for me with lunch when I came home, terrible*| *| I have no problem with it once in a while, but I do not want to come home with the feeling that there is a housewife waiting for me. I absolutely reject that idea.  But I also think that employer often force people, because men earn more, for once and secondly, if you are absent from your job for a year, there is a big question whether you will have your job back with the same benefits.” |
DE_quotes	DE_Q_M_63_CFR1	12	0	Barbara Helfferich	6	1	3	1	8	7	3	3	1	1970	4	4	1	2	4	4	1	friends,school,siblings,cousins,	63	*| 1 | “A second experience, which probably had a great influence on my later life, was when I noticed at the age of 16,17 that my father’s profession would not necessarily be mine in the future.  I was going to find something different.  The father was a very dominant person in the family, up to the point, that my two older sisters were also forced to work in the family business.  Unfortunately, they were not allowed to continue and finish high school, in particular the oldest one. She was more or less taken from school, (having only attained an intermediate degree), although she had all the brains, qualification and the will for it, to pass the baccalaureate and possibly to study.  I have to note here that she, at the age of 62, began university studies.  She made up for it what her father had forbidden her to do once she was at the pensionable age.  She has my greatest respect.  Unfortunately, her cancer did not allow her to come very far.” |
DE_quotes	DE_Q_M_58_ID	9	0	Barbara Helfferich	6	1	2	2	1	7	1	2	3	2000	2	2	2	5	2	1	5	partner,children,colleagues,friends,peers,school	58	*| 1 | “The diplomatic passport was proof of legitimacy.  But when I saw mine.. there were also many other signs, that my status had changed all of a sudden, ..well in that passport my profession was identified as that of the “husband of the political advisor”.  I thought that was pretty strong.  But then also I thought it was strange.  A few months after we had moved to B., I had started a new job in NRW, so getting there from B. was not the problem.. and with this new position I had a professional status that matched my qualifications.. Now being referred to as “the husband of the political advisor”, I felt demoted to being the unqualified partner of my wife.*| *| .First of all, I found it very astonishing.  I liked telling the tale, because the story reflects the way, that is thow gender specifc people are treated in the dpilomatic service.  And women, who are themselves diplomats, are  most of time married to other diplomats*| *| .” |
DE_quotes	DE_Q_M_30_ID	9	0	Barbara Helfferich	6	1	5	3	3	3	0	0	1	1970,1980,1990	3	3	2	1	3	3	3	mother,father,partner,media,political movementl ovement	30	
DE_quotes	DE_Q_M_58_CFR	29	1	Barbara Helfferich	6	1	2	2	1	7	1	2	3	1990	3	2	2	4	2	2	5	partner,children,friends,peers,creche	58	*| 1 | “To some extent, I felt negative about it, that G, my wife, that the family income was dependent almost exclusively on her.  Not entirely though, but. I still got unemployment benefits, but nevertheless.  And my own, I mean the financial possibilities that I had on the basis of my employment history, were relatively limited.  That produced a feeling of dependence; I felt that once in a while, and that was negative.” |*| *| .Dad leaves for work and that was, as became evident, the expectation, but Dad could not play that since the father did not leave for work in the morning. I was the principle carer at the time, educating my son, and when I worked, I worked on my dissertation.” (laugh) |*| 3 |   |*| 4 | “*| *| theywere lower-middle class, perhaps alternative sourroundings and people weren’t petit bourgeois or traditionalists, nevertheless, that was apparently the way it should be for a number of families there, some of them weren’t even married, etc.and that wasn’t really important for the kids (Nb: being married or not), but it was important that the father leaves for work in the morning.  And that was what J. told us and he found it funny and said: “but a dad does not do that, you do not do that!” And that was evidently not the right basis to be invited  |*| 5 | to play. That’s it.” |
DE_quotes	DE_Q_M_30_CFR	17	0	Barbara Helfferich	6	1	5	3	3	3	0	0	1	2000,2010	4	3	4	3	3	3	3	partner,friends,peers,media	30	*| 1 | (R): This question about roles has become more prominent since I started my current relationship. It also has a lot to do with the fact that my girlfriend is very interested in this issue and supports women’s rights and equality..and therefore uses me as a guinea pig, which is ok.  As I said, this has not so far been such a big issue for me*| *| Perhaps it is simply because it is easier for a man, because one is not openly confronted with it by earning less or being disadvantaged in many situations.  But now, in this relationship, I have noticed that these things become issues more often.   Sometimes only as a socio-political issue, because it is part of a general discussion and my point of view is a different one, that is that there is no issue for me because I judge things from my perspective.  On the other hand, my girlfriend knows much better and shows me where there are injustices. |*| 2 | But then this is mirrored in the relationship, so that certain activities present themselves again so that it is me who checks the washing machine.  And the girlfriend has the impression that she puts more work into the apartment. I would not necessarily link that to particular role models, but say that my girlfriend is more orderly than me and I don’t care so much and do not expect her that she does these things for me.  But these types of discussions are more and more frequent.  And so this is the first time for me, funnily enough in the relationship, that I am confronted with my role as a man.  Something I did not know before. |*| 4 | (R): Yes, of course. |*| 6 | (R):  We also fight.  Because I don’t understand it.  I look at it as me being not very orderly and less interested to do this; and I am not expecting the woman to do it for me.  But my girlfriend believes it has something to do with gender roles, perhaps because out of interest and her personal experiences, perhaps from the point of view of a woman who has always been treated differently.  I do not share her opinion.  But then on the other hand, if the garage door does not function, it is me who is expected to do it.  That I find a bit strange and then having to talk about this role model thing.  I like closing the garage door.  But I am also of the opinion that society would function well when that wouldn’t be an issue anymore.  And there I think we think alike in terms of goals.  And that everybody does what suits him or her best.  And I do not mean by it that my girlfriend is more gifted to do the dishes or clean.  But when I have to lift a washing machine I prefer to do that with a strong man or a strong woman than with somebody who is weaker.   That's only logical.  I think we should apply logic not role models. But in the relationship, all this has become more and more of an issue.  But the goal remains the same.  I have been accused of being stuck in several male role models; but conversely, I would venture to say that she, while propagating her vision of liberation, is more bound by old role models than me perhaps.  But I would never dare say  that (laughs); that would lead to confrontation, which I do not want to have.  But I have great sympathies for the women’s movement and support any type of sexual liberation and regard this gender thing as completely overvalued and out of proportion, but above all unsolved, ‘cause the question really is whether there are really only two genders or perhaps there are more? |
